canonical_code,mechanism_type_map,iapp_column,definition_summary
documentation,record_keeping,Program and documentation,"Technical documentation, model cards, system design records...."
registration,registration,Registration,Mandatory registration with a state or federal registry....
impact_assessment,impact_assessment,Assessments,"Algorithmic impact assessment, DPIA, or AI risk assessment before deployment...."
bias_testing,bias_audit,,Bias audit or discrimination testing of AI system outputs....
red_teaming,,,Adversarial/red-team testing or safety evaluation before deployment....
third_party_audit,,Third-party review,Independent third-party audit or certification of an AI system....
incident_reporting,reporting,Explanation/incident reporting,"Reporting AI incidents, breaches, or safety failures to a regulator...."
record_keeping,record_keeping,,"Retention of logs, training data documentation, or decision records...."
disclosure_to_user,disclosure,General notice,Disclosure or notice to individuals that AI is being used....
labeling_watermarking,notification,Labeling/notification,Labeling or watermarking of AI-generated content....
human_review,,,Requirement for human oversight or appeal of AI-driven decisions....
opt_out_right,,Opt out/appeal,Individual right to opt out of AI processing or profiling....
explanation_right,,Explanation/incident reporting,Individual right to explanation or meaningful information about an AI decision....
training_mandate,,Training,"Required staff or operator training on AI use, bias, or safety...."
certification,certification,,"Self-certification, conformity declaration, or CE-marking equivalent...."
reporting_to_regulator,reporting,,Periodic compliance reporting submitted to an agency or regulator....
prohibition,,Nondiscrimination,Absolute prohibition on a specific AI use or practice....
consent_mechanism,,,Opt-in or explicit consent required before AI use or data processing....
data_governance,,,"Data quality, lineage, or data management requirements for AI training/operation..."
security_measures,,,"Cybersecurity, access controls, or data security requirements for AI systems...."
risk_management,impact_assessment,Assessments,"Ongoing risk monitoring, mitigation plan, or continuous risk management program...."
